company,category,sub_category,question,answer,source_url,collected_at
제네시스,차량 구매,,제네시스 구입 후 세금계산서 발급받으려고 하는데 어떻게 해야 하나요?,[개인사업자 및 법인사업자 구입고객] 2010년 7월 1일부터 세금계산서가 서면이 아닌 전자 세금계산서로 발행이 됩니다. 사이트( http://e-vat.hyundai.com ) 에서 발급받으시면 됩니다. [개인 구입고객] 2011년 4월11일부터 차량 구입하신 지점(대리점)에서 영수증이 발행됩니다. ※재발행은 차량 구입하신 지점(대리점)으로 문의해 주시기 바랍니다.,https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,제네시스 차량 구입 시 의무보험료란 금액을 납부하였습니다. 이것은 어떤 종류의 보험인가요?,"의무보험은 차량이 출고센터를 동해 출고되어 임시운행 기간 동안에만 유효한 보험입니다. 이는 임시운행 기간 중 발생되는 교통사고 피해자의 피해배상 보장을 위한 자동차 손해배상보장법 개정으로 임시운행허가 차량의 의무보험 가입이 법제화 되었습니다. 보상책임기간은 출고일부터 임시운행허가 기간인 10일(기간 만료일 24시까지)동안이고 보험료는 차종별 정액보험료가 적용됩니다. (대부분의 경우 1만원 이내) 따라서 차량을 구입하신 고객께서는 임시운행허가기간 종료 이전에 1년만기 책임보험, 혹은 종합보험에 반드시 가입하셔야 합니다. 의무보험은 1회 소멸성 보험으로 임시운행증을 반납하거나 다른 책임보험에 가입하시는 경우 자동으로 해지가 됩니다.",https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,일정기간 이상 지난 차량은 자동차세가 경감된다고 하는데 그 내용을 알고 싶습니다.,"자가용 승용차의 차령 3년이상 차량에 대한 자동차세 경감은 현재에도 시행되고 있는 사항으로 대입공식은 다음과 같습니다. ○자동차세/2-(자동차세/2*5%)*(차령-2) ※ 단, 차령 12년 이상은 12년으로 간주",https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,부가세 환급을 받을 수 있는 차종 및 조건은 무엇인가요?,"개인 또는 법인 사업자 명의로 등록하는 경우 9인승 이상의 차량이나 경차, 화물차 구입시 부가세를 환급 받으실 수 있습니다. (단, 면세사업자 제외)",https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,차량에 부과되는 세금은 어떤 종류가 있나요?,"현행 자동차관련 세금항목은 다음과 같습니다. ① 구입단계 : 개별소비세(8인승 이하 승용차한), 교육세(개소세의 30%), 부가가치세 ② 등록단계 : 등록세, 취득세 ③ 소유단계 : 자동차세(연단위 부여) ④ 유류관련 : 교통세, 주행세, 교육세, 부가가치세 ⑤ 기타 : 공채매입, 환경개선비용부담금(해당자동차한)",https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,제네시스 차량을 구입하려면 어떻게 해야하나요?,"제네시스에서는 전국 정식 지점/대리점을 통해서만 차량을 판매하고 있습니다. 자세한 지점/대리점 위치는 홈페이지 전시장 / 센터 찾기에서 확인하실 수 있습니다. 그 이외의 유통경로(인터넷 등)로는 차량 공급이 되지 않사오니 차량 구입시 주의해주시기 바라며 전국 어느 곳에서나 같은 제품,같은 가격으로 바른거래를 실천하고 있습니다. 참고로, 제네시스 홈페이지 구매상담 신청을 이용시 고객님께서 원하시는 지점, 대리점을 선택하여 상담신청을 하시면 전문영업사원이 신속하고 친절하게 차량구매에 관한 모든 궁금증을 해결해 드리겠습니다.",https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,차량구입에 관련된 금액은 어떠한 결제방식이 있나요?,"차량구입에 관련된 금액의 결제는 현금, 신용카드 및 할부이용 등의 방법이 있습니다. 그 이외 현재 보유차량 매각대금 대체 및 직불카드 등의 이용은 불가합니다.",https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,차량 계약금 및 차량 대금을 입금하려고 하는데 입금 계좌가 정해져 있나요?,"차량계약금 및 차량대금은 자동차 매매계약서에 명시된 지정계좌 및 계약자 본인의 가상계좌로 송금하여 주시고, 무통장 입금증을 잘 보관하여 주시기 바랍니다. ※가상계좌의 경우 해당 지점, 대리점에 문의하시면 확인 가능합니다.",https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,차량 계약 후 해지 시 계약금은 환불 받을 수 있나요?,"차량 출고 전 해지 요청 시에는 계약금 환불이 가능하며, 자세한 사항은 계약하신 지점(대리점)에 문의 바랍니다.",https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
제네시스,차량 구매,,제네시스에서 중고차를 구입할 수 있나요?,현재 저희 현대자동차는 현대·제네시스 인증 중고차(Hyundai Certified·GENESIS CERTIFIED) 매입 및 판매를 시행하고 있습니다. ※ 고객분들의 편리하고 안전한 중고차 거래를 위해 제네시스 인증 중고차 사이트(https://certified.hyundai.com) 를 운영 중이니 참고하시기 바랍니다.,https://www.genesis.com/kr/ko/support/faq.html,2026-06-27
